DecimalYear,WaveHeight
2019.208077,0.839106283
2019.210815,1.069765891
2019.210815,1.069765891
2019.210815,1.069765891
2019.213552,1.4287597
2019.213552,1.4287597
2019.213552,1.4287597
2019.21629,1.203124154
2019.21629,1.203124154
2019.21629,1.203124154
2019.221766,1.162054592
2019.221766,1.162054592
2019.221766,1.162054592
2019.224504,1.178841466
2019.224504,1.178841466
2019.224504,1.178841466
2019.227242,1.197197215
2019.227242,1.197197215
2019.227242,1.197197215
2019.229979,1.13437355
2019.229979,1.13437355
2019.229979,1.13437355
2019.232717,1.267309408
2019.232717,1.267309408
2019.232717,1.267309408
2019.235455,1.138792197
2019.235455,1.138792197
2019.235455,1.138792197
2019.240931,0.89378945
2019.240931,0.89378945
2019.240931,0.89378945
2019.243669,0.749578265
2019.243669,0.749578265
2019.243669,0.749578265
2019.246407,0.719752185
2019.246407,0.719752185
2019.246407,0.719752185
2019.249144,1.031123256
2019.249144,1.031123256
2019.249144,1.031123256
2019.251882,0.931003986
2019.251882,0.931003986
2019.251882,0.931003986
2019.257358,0.787104326
2019.257358,0.787104326
2019.257358,0.787104326
2019.260096,0.965500296
2019.260096,0.965500296
2019.260096,0.965500296
2019.262834,1.305887042
2019.262834,1.305887042
2019.262834,1.305887042
2019.265572,1.099928675
2019.265572,1.099928675
2019.265572,1.099928675
2019.268309,0.91349003
2019.268309,0.91349003
2019.268309,0.91349003
2019.271047,0.720909245
2019.271047,0.720909245
2019.271047,0.720909245
2019.276523,0.690393087
2019.276523,0.690393087
2019.276523,0.690393087
2019.279261,0.71094205
2019.279261,0.71094205
2019.279261,0.71094205
2019.281999,0.760156084
2019.281999,0.760156084
2019.281999,0.760156084
2019.284736,0.640466325
2019.284736,0.640466325
2019.284736,0.640466325
2019.287474,0.78395516
2019.287474,0.78395516
2019.287474,0.78395516
2019.290212,0.781873273
2019.290212,0.781873273
2019.290212,0.781873273
2019.295688,0.700442876
2019.295688,0.700442876
2019.295688,0.700442876
2019.298426,0.717416149
2019.298426,0.717416149
2019.298426,0.717416149
2019.301164,0.682789184
2019.301164,0.682789184
2019.301164,0.682789184
2019.303901,0.510695248
2019.303901,0.510695248
2019.303901,0.510695248
2019.306639,0.518360643
2019.306639,0.518360643
2019.306639,0.518360643
2019.312115,0.64131936
2019.312115,0.64131936
2019.312115,0.64131936
2019.314853,0.545715801
2019.314853,0.545715801
2019.314853,0.545715801
2019.317591,0.585218883
2019.317591,0.585218883
2019.317591,0.585218883
2019.320329,0.591172022
2019.320329,0.591172022
2019.320329,0.591172022
2019.323066,0.667631007
2019.323066,0.667631007
2019.323066,0.667631007
2019.325804,0.650629964
2019.325804,0.650629964
2019.325804,0.650629964
2019.33128,0.63342551
2019.33128,0.63342551
2019.33128,0.63342551
2019.334018,0.610103058
2019.334018,0.610103058
2019.334018,0.610103058
2019.336756,0.692358314
2019.336756,0.692358314
2019.336756,0.692358314
2019.339493,0.751417461
2019.339493,0.751417461
2019.339493,0.751417461
2019.342231,0.906166634
2019.342231,0.906166634
2019.342231,0.906166634
2019.344969,0.896413875
2019.344969,0.896413875
2019.344969,0.896413875
2019.350445,0.721352694
2019.350445,0.721352694
2019.350445,0.721352694
2019.353183,0.598592704
2019.353183,0.598592704
2019.353183,0.598592704
2019.355921,0.646302069
2019.355921,0.646302069
2019.355921,0.646302069
2019.358658,1.074783327
2019.358658,1.074783327
2019.358658,1.074783327
2019.361396,1.291410163
2019.361396,1.291410163
2019.361396,1.291410163
2019.364134,1.352319754
2019.364134,1.352319754
2019.364134,1.352319754
2019.36961,1.872935842
2019.36961,1.872935842
2019.36961,1.872935842
2019.372348,1.526711042
2019.372348,1.526711042
2019.372348,1.526711042
2019.375086,1.152572326
2019.375086,1.152572326
2019.375086,1.152572326
2019.377823,1.528876846
2019.377823,1.528876846
2019.377823,1.528876846
2019.380561,1.084765562
2019.380561,1.084765562
2019.380561,1.084765562
2019.386037,1.395858079
2019.386037,1.395858079
2019.386037,1.395858079
2019.388775,1.224232417
2019.388775,1.224232417
2019.388775,1.224232417
2019.391513,0.963413471
2019.391513,0.963413471
2019.391513,0.963413471
2019.394251,0.772820989
2019.394251,0.772820989
2019.394251,0.772820989
2019.396988,0.729538227
2019.396988,0.729538227
2019.396988,0.729538227
2019.399726,0.596707418
2019.399726,0.596707418
2019.399726,0.596707418
2019.405202,0.703079828
2019.405202,0.703079828
2019.405202,0.703079828
2019.40794,0.848799885
2019.40794,0.848799885
2019.40794,0.848799885
2019.410678,0.789818703
2019.410678,0.789818703
2019.410678,0.789818703
2019.413415,0.692990727
2019.413415,0.692990727
2019.413415,0.692990727
2019.416153,0.709805418
2019.416153,0.709805418
2019.416153,0.709805418
2019.418891,0.789569859
2019.418891,0.789569859
2019.418891,0.789569859
2019.424367,0.73021073
2019.424367,0.73021073
2019.424367,0.73021073
2019.427105,0.617034098
2019.427105,0.617034098
2019.427105,0.617034098
2019.429843,0.53740203
2019.429843,0.53740203
2019.429843,0.53740203
2019.43258,0.446782713
2019.43258,0.446782713
2019.43258,0.446782713
2019.435318,0.436970937
2019.435318,0.436970937
2019.435318,0.436970937
2019.440794,0.448356226
2019.440794,0.448356226
2019.440794,0.448356226
2019.443532,0.651061846
2019.443532,0.651061846
2019.443532,0.651061846
2019.44627,0.762135219
2019.44627,0.762135219
2019.44627,0.762135219
2019.449008,0.560667189
2019.449008,0.560667189
2019.449008,0.560667189
2019.451745,0.549400533
2019.451745,0.549400533
2019.451745,0.549400533
2019.454483,0.824781538
2019.454483,0.824781538
2019.454483,0.824781538
2019.459959,0.848394739
2019.459959,0.848394739
2019.459959,0.848394739
2019.462697,0.799211158
2019.462697,0.799211158
2019.462697,0.799211158
2019.465435,0.769159498
2019.465435,0.769159498
2019.465435,0.769159498
2019.468172,0.834130873
2019.468172,0.834130873
2019.468172,0.834130873
2019.47091,0.764864479
2019.47091,0.764864479
2019.47091,0.764864479
2019.473648,0.624793463
2019.473648,0.624793463
2019.473648,0.624793463
2019.479124,0.590330184
2019.479124,0.590330184
2019.479124,0.590330184
2019.481862,0.539472625
2019.481862,0.539472625
2019.481862,0.539472625
2019.4846,0.459485832
2019.4846,0.459485832
